Date,Département,Cumulative cases,New cases (24h),Cumulative Deaths,New deaths (24h) Rate Of,Case fatality rate,Source
#date,#adm1+name,#affected+infected+confirmed+total,#affected+infected+confirmed+new,#affected+infected+dead+total,#affected+infected+dead+new,,
12-05-2020,Sud-Est,7,0,1,0,14.3%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_12-05-2020.pdf
12-05-2020,Nippes,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_12-05-2020.pdf
12-05-2020,Centre,4,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_12-05-2020.pdf
12-05-2020,Sud,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_12-05-2020.pdf
12-05-2020,Nord-Ouest,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_12-05-2020.pdf
12-05-2020,Grand Anse,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_12-05-2020.pdf
11-05-2020,Ouest,151,9,9,1,6.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_11-05-2020.pdf
11-05-2020,Artibonite,27,1,5,1,18.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_11-05-2020.pdf
11-05-2020,Nord-Est,12,0,2,0,16.7%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_11-05-2020.pdf
11-05-2020,Nord,8,0,1,0,12.5%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_11-05-2020.pdf
11-05-2020,Sud-Est,7,0,1,0,14.3%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_11-05-2020.pdf
11-05-2020,Nippes,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_11-05-2020.pdf
11-05-2020,Centre,4,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_11-05-2020.pdf
11-05-2020,Sud,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_11-05-2020.pdf
11-05-2020,Nord-Ouest,3,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_11-05-2020.pdf
11-05-2020,Grand Anse,2,0,0,0,0.0%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_11-05-2020.pdf
10-05-2020,Ouest,142,16,8,0,5.6%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_10-05-2020.pdf
10-05-2020,Artibonite,26,8,4,1,15.4%,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_10-05-2020.pdf
